group,searchLabel,videoId,title,publishedAt_JST,durationSec,startDate_PT_estimate,endDate_PT_estimate,status28d_20260920
高転換,超有料級 / 7年ぶりに / コストコ,OAlxKREPnHI,【超有料級】7年ぶりに腸活のプロをコストコに連れて行ったら、選び方が凄すぎた！【Costco】,2026-02-07,1403,2026-02-07,2026-03-06,28日到達
高転換,トレーニー必見 / 筋トレで老けます,q7lQ_TgP8bk,【トレーニー必見】筋トレで老けます！腸活のプロが語るプロテインの飲み過ぎで寿命が縮む理由,2026-04-04,1117,2026-04-04,2026-05-01,28日到達
高転換,毎日食べてます / 1日のフル食,fpAnuNrRW6E,「毎日食べてます」腸活を極めたプロが厳選した1日のフル食を大公開！,2025-10-21,986,2025-10-21,2025-11-17,28日到達
低転換,キムチ腸活 / 10商品を格付け,6MI7GRKuo6k,【キムチ腸活】プロがスーパーで買える10商品を格付けしたら衝撃な結果に..,2026-09-01,1079,2026-09-01,2026-09-28,未達（取得時は公開日〜取得日で集計）
低転換,コストコ爆買い / ヘトヘトのカメラマン,j32qv35W2C4,【コストコ爆買い】ヘトヘトのカメラマンに腸活のプロが最強食材を買ってあげました【Costco】,2026-09-08,1741,2026-09-08,2026-10-05,未達（取得時は公開日〜取得日で集計）
低転換,衝撃 / 腸に最悪だと思っていたカレー,OAacUF8rW2M,【衝撃】腸に最悪だと思っていたカレーが、実は最強の腸活食でした【腸活スパイスカレー】,2026-09-05,1025,2026-09-05,2026-10-02,未達（取得時は公開日〜取得日で集計）
