区分,公開日,タイトル,動画URL,再生数,高評価数,コメント数,動画尺(秒),対平均倍率(直近1年長尺)
長尺,2026-02-05,【失敗します】プロが自分の子供には絶対に買わないダメ寝具7選,https://www.youtube.com/watch?v=fnNUS9AssCY,3234,43,4,1135,0.08
長尺,2026-01-29,【ニトリvs無印良品】もう失敗しない新生活の寝具セットをプロがご提案します！,https://www.youtube.com/watch?v=nc6B3YG6fk0,17579,102,1,1051,0.41
長尺,2026-01-22,【コアラvsNELLマットレス】どっちを買う？業界25年のプロが徹底比較,https://www.youtube.com/watch?v=UnjtBcyUgTI,89855,432,20,1175,2.10
長尺,2026-01-15,【知らなきゃ損】50代が絶対避けるべきNGマットレス５選をプロが解説します！,https://www.youtube.com/watch?v=mubgSv5yY8Y,42335,413,22,940,0.99
長尺,2026-01-08,【勘違い】業界25年のプロが毎日の睡眠を無駄にしない快眠法を教えます！,https://www.youtube.com/watch?v=EES7fZ9uRhA,1025,45,0,1102,0.02
長尺,2026-01-03,「実はウチも売ってます」99%が勘違いしてるプロが絶対買わない寝具グッズ,https://www.youtube.com/watch?v=4EnyqDvuyS4,14295,108,4,873,0.33
長尺,2025-12-25,【保存版】業界25年プロのおすすめ大手羽毛布団メーカー5社を徹底解説！,https://www.youtube.com/watch?v=WWh0OFiQrAQ,12236,134,11,1123,0.29
長尺,2025-12-18,【10万円超え7選】ニトリ・西川を徹底比較！寝具のプロが選ぶ高級マットレス,https://www.youtube.com/watch?v=3vN5IVQ8_lQ,9108,64,6,1034,0.21
長尺,2025-12-11,【枕の寿命は1年！？】睡眠の質が悪くなる5つのサインをプロが解説,https://www.youtube.com/watch?v=QvCfW5EV3fs,3688,67,0,893,0.09
長尺,2025-12-04,「寝ても疲れる...」業界25年プロが実践するリアルな快眠法を聞いてみた！,https://www.youtube.com/watch?v=GLEzvhq5b68,982,30,1,761,0.02
長尺,2025-11-27,マットレスで腰痛改善！眠りのプロがおすすめする6選を大公開！,https://www.youtube.com/watch?v=pxgTuijswp8,42048,275,10,739,0.98
長尺,2025-11-20,エアウィーヴ・コアラ・西川を比較！業界25年プロが選んだ最強枕5選,https://www.youtube.com/watch?v=xpDBLy3YkTs,87228,396,13,953,2.04
長尺,2025-11-13,「羽毛布団はやっぱり高い方がいい？」ニトリ・無印良品・西川をプロが徹底比較！,https://www.youtube.com/watch?v=mQbeCsZm7Zg,294852,1255,97,722,6.89
長尺,2025-11-06,業界25年プロがガチレビュー！ヒツジのいらない枕『調律』って実際どうなの？,https://www.youtube.com/watch?v=-AlsgZ-XHtI,41179,164,8,581,0.96
長尺,2025-10-30,ニトリ・西川徹底比較！プロが選んだおすすめ最強マットレス9選【2025年版】,https://www.youtube.com/watch?v=ba4g5hSCd-s,182480,859,47,1363,4.27
長尺,2025-10-23,西川で寝具買い替え！プロに10万円でマットレス・枕・布団を選んでもらった,https://www.youtube.com/watch?v=c2k9T6JqZEA,24842,145,11,908,0.58
長尺,2025-10-16,【保存版】西川エアーマットレスの違いをプロが徹底比較【01・03・SI・SX】,https://www.youtube.com/watch?v=INhZY0mNvSA,35097,234,18,1153,0.82
長尺,2025-10-09,大谷翔平の睡眠を10年支える！西川枕・マットレスをプロが徹底解説,https://www.youtube.com/watch?v=nUq5Ws1j2U0,10200,95,,1080,0.24
長尺,2025-10-02,【秋にくしゃみが止まらない人へ】寝具でできるアレルギー対策を伝授します！,https://www.youtube.com/watch?v=_vaPRIzWvXM,1186,28,0,913,0.03
長尺,2025-09-25,【後悔】業界25年プロが絶対におすすめしない羽毛布団5選,https://www.youtube.com/watch?v=iGVWWdcgdbU,145888,1041,81,710,3.41
長尺,2025-09-18,【2025年版】西川・エアウィーヴのおすすめ10万円以下マットレス7選,https://www.youtube.com/watch?v=icnoMwSJRhc,33840,168,8,989,0.79
長尺,2025-09-11,【完全解説】業界25年のプロがおすすめしないヤバイ枕5選,https://www.youtube.com/watch?v=lQQVAOkX98I,46058,165,9,670,
長尺,2025-09-04,【ニトリvs無印】「コスパ最強マットレスはどっち？」値段別に徹底比較,https://www.youtube.com/watch?v=AooqmLFJco8,50083,192,5,1077,
長尺,2025-08-28,【返品保証でも返品できない】マットレス保証の注意点,https://www.youtube.com/watch?v=oYzKHAML6S8,1179,20,0,816,
長尺,2025-08-21,【暴露】寝具のプロはコインランドリーで羽毛布団を洗いません。,https://www.youtube.com/watch?v=G5WTLMAw2Lk,22895,149,7,818,
長尺,2025-08-14,【圧縮袋はNG】99%がやってしまう羽毛布団の間違い収納5選,https://www.youtube.com/watch?v=WYlce_mbqZg,25384,245,12,816,
長尺,2025-08-07,【2025年最新】ニトリ・西川を徹底比較！5万円以下で買えるコスパ最強マットレス5選,https://www.youtube.com/watch?v=wRzLJitikrA,37344,232,8,1082,
長尺,2025-07-31,【必見】人気の高反発マットレス選びで失敗しない5つのポイント,https://www.youtube.com/watch?v=1NK7xI33xgo,40039,251,6,1120,
長尺,2025-07-24,業界25年のプロが低反発マットレスのデメリットを徹底解説,https://www.youtube.com/watch?v=mKMTULxIII0,4218,48,2,1101,
長尺,2025-07-17,【枕難民必見】オーダーメイド枕で失敗する人の特徴5選,https://www.youtube.com/watch?v=hJwibbUxWVA,13280,98,0,847,
長尺,2025-07-10,【やめとけ】寝具のプロがおすすめしないマットレス5選,https://www.youtube.com/watch?v=BdqJx8So5JE,232136,935,39,776,
長尺,2025-07-03,【枕が合わない】オーダーメイド枕の正しい選び方とおすすめ相場,https://www.youtube.com/watch?v=gaifuTNmyO8,14498,105,2,1009,
ショート,2026-09-14,大手羽毛布団メーカーを睡眠のプロが徹底解説！,https://www.youtube.com/watch?v=piFEEGoz_bM,1545,18,5,,
ショート,2026-09-07,睡眠のプロが解説する枕の寿命と見分け方,https://www.youtube.com/watch?v=WIZvqaO0XYY,2050,19,1,,
ショート,2026-08-31,プロが選ぶ腰痛改善マットレスを大公開！,https://www.youtube.com/watch?v=LcwcxJERUGI,3334,13,0,,
ショート,2026-08-24,【エアウィーヴ・コアラ・西川を比較】睡眠のプロが選んだおすすめ枕5選,https://www.youtube.com/watch?v=aHvCbf0lb94,1617,21,0,,
ショート,2026-08-17,【羽毛布団を比較】ニトリ・無印良品・西川、何が違う？,https://www.youtube.com/watch?v=pMjAuXfMQGU,1737,11,0,,
ショート,2026-08-10,睡眠のプロがガチレビュー！ヒツジのいらない枕って実際どうなの？,https://www.youtube.com/watch?v=QmanPBOi3Xw,3998,23,0,,
ショート,2026-08-03,【徹底比較】プロが西川エアーマットレスの違いを解説します【01・03・SI・SX】,https://www.youtube.com/watch?v=OMxPM93uVvU,4675,24,1,,
ショート,2026-07-27,プロが選んだ最強マットレス【ニトリ・西川徹底比較】,https://www.youtube.com/watch?v=dusnzz7ht7s,3663,23,0,,
ショート,2026-07-20,【予算10万円】西川でマットレス・枕・布団を一式揃えるならコレ！,https://www.youtube.com/watch?v=oSe_l3PyR1c,3272,26,0,,
ショート,2026-07-13,プロは絶対に選ばない！後悔する「羽毛布団」の共通点5選,https://www.youtube.com/watch?v=ppqEcBnSfdU,1861,31,0,,
ショート,2026-07-06,プロが選ぶ10万円以下で買える最強マットレス7選【マットレス西川・エアウィーヴ】,https://www.youtube.com/watch?v=16T3VXTtduQ,4537,33,0,,
ショート,2026-06-29,【買う前に見て】マットレス保証、実は9割が勘違いしてます,https://www.youtube.com/watch?v=PpXnRIR3PCo,2098,17,0,,
ショート,2026-06-22,寝具のプロが羽毛布団をコインランドリーで絶対洗わない理由,https://www.youtube.com/watch?v=IyG8U5_rs28,4740,12,0,,
ショート,2026-06-15,圧縮袋に入れるのは絶対NG！99%がやってしまう羽毛布団の間違った収納,https://www.youtube.com/watch?v=S1rXCopVBjk,7878,17,0,,
ショート,2026-06-08,【予算5万円以下】睡眠のプロが本音で選ぶコスパ最強マットレス！【モットン・マニフレックス・ニトリ】,https://www.youtube.com/watch?v=ezwW1LjtToc,3905,27,0,,
ショート,2026-06-01,「買ったのに体が痛い…」を避けるための失敗しない高反発マットレスの選び方,https://www.youtube.com/watch?v=6mx_kOqTpbI,3907,19,0,,
ショート,2026-05-25,【警告】高すぎる枕は命に関わる？首を壊し睡眠の質を下げる「NGな枕」の見分け方,https://www.youtube.com/watch?v=zBpwHt8SgfA,2177,14,0,,
ショート,2026-05-18,【睡眠のプロは買わない】2人でダブルサイズはNG？寝返りを邪魔するマットレスの特徴,https://www.youtube.com/watch?v=64_-bR783mg,993,10,0,,
ショート,2026-05-11,"【オーダーメイド枕】12,000円と3万円以上の商品を違いを解説",https://www.youtube.com/watch?v=1yo28yFKRjM,3466,18,4,,
